EXERCISE;John Smith;1994-08-10;email@email.dk;Crawl
PASSIVE;Lars Doe;1912-12-12;lars@email.dk;Backstroke
COMPETITIVE;Chris Ye;2001-05-25;chrisYeYoung2001@kea.dk;Crawl
PASSIVE;klara;1290-02-23;klara@jesus.dk;None
COMPETITIVE;Mary Joe;2002-11-02;majoe@yahoo.com;Butterfly
COMPETITIVE;Barry Joe;2008-01-08;bajoe@yahoo.com;Crawl
COMPETITIVE;Kris;1994-08-10;dev@wicked.org;Breaststroke
PASSIVE;john;2001-04-25;22@22.com;None
COMPETITIVE;Mads;2001-12-27;21@21.dk;Backstroke
EXERCISE;Lars;1994-07-07;tolana@gmail.com;None
